name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
FSL,/company/FSL/consolidated/,FSL,12.80,,,,,,,18693.82,264.40
FINCABLES,/company/FINCABLES/consolidated/,FINCABLES,16.69,,,,,,,18661.66,1220.20
CAMS,/company/CAMS/,CAMS,26.01,,,,,,,18601.57,748.80
SUNTV,/company/SUNTV/consolidated/,SUNTV,6.43,,,,,,,18557.44,470.90
THELEELA,/company/THELEELA/consolidated/,THELEELA,24.46,,,,,,,18502.94,554.05
SAMMAANCAP,/company/SAMMAANCAP/consolidated/,SAMMAANCAP,17.35,,,,,,,18397.68,158.39
TRITURBINE,/company/TRITURBINE/consolidated/,TRITURBINE,35.55,,,,,,,18352.28,577.30
TBOTEK,/company/TBOTEK/consolidated/,TBOTEK,36.74,,,,,,,18339.39,1688.90
ERIS,/company/ERIS/consolidated/,ERIS,17.98,,,,,,,18316.55,1321.70
EIHOTEL,/company/EIHOTEL/consolidated/,EIHOTEL,14.01,,,,,,,18254.38,291.90
AZAD,/company/AZAD/consolidated/,AZAD,64.87,,,,,,,17936.29,2777.30
BAYERCROP,/company/BAYERCROP/,BAYERCROP,15.68,,,,,,,17931.45,3989.90
ECLERX,/company/ECLERX/consolidated/,ECLERX,14.63,,,,,,,17923.25,1905.70
SARDAEN,/company/SARDAEN/consolidated/,SARDAEN,9.42,,,,,,,17920.35,508.55
GMDCLTD,/company/GMDCLTD/consolidated/,GMDCLTD,19.91,,,,,,,17901.81,562.95
AARTIIND,/company/AARTIIND/consolidated/,AARTIIND,16.56,,,,,,,17847.97,492.05
OLAELEC,/company/OLAELEC/consolidated/,OLAELEC,-25.14,,,,,,,17680.52,38.20
ONESOURCE,/company/ONESOURCE/consolidated/,ONESOURCE,53.99,,,,,,,17634.40,1537.80
COHANCE,/company/COHANCE/consolidated/,COHANCE,51.13,,,,,,,17469.39,456.60
CMPDI,/company/CMPDI/,CMPDI,18.62,,,,,,,17415.89,243.92
VERTIS,/company/VERTIS/consolidated/,VERTIS,8.82,,,,,,,17372.37,115.05
ASTRAZEN,/company/ASTRAZEN/,ASTRAZEN,66.40,,,,,,,17360.00,6944.00
VTL,/company/VTL/consolidated/,VTL,11.42,,,,,,,17322.48,598.20
POLYMED,/company/POLYMED/consolidated/,POLYMED,30.28,,,,,,,17256.79,1702.50
DEEPAKFERT,/company/DEEPAKFERT/consolidated/,DEEPAKFERT,10.63,,,,,,,17194.85,1362.10
DEVYANI,/company/DEVYANI/consolidated/,DEVYANI,21.63,,,,,,,17172.39,139.28
LALITHAA,/company/LALITHAA/,LALITHAA,11.05,,,,,,,17166.30,306.70
BEML,/company/BEML/consolidated/,BEML,46.72,,,,,,,17139.21,2057.80
TRAVELFOOD,/company/TRAVELFOOD/consolidated/,TRAVELFOOD,20.19,,,,,,,17073.59,1296.30
ABDL,/company/ABDL/consolidated/,ABDL,31.70,,,,,,,17060.92,609.95
CHOICEIN,/company/CHOICEIN/consolidated/,CHOICEIN,38.31,,,,,,,16952.18,760.95
ZYDUSWELL,/company/ZYDUSWELL/consolidated/,ZYDUSWELL,33.18,,,,,,,16916.61,531.70
JSWCEMENT,/company/JSWCEMENT/consolidated/,JSWCEMENT,14.27,,,,,,,16915.27,124.07
MINDACORP,/company/MINDACORP/consolidated/,MINDACORP,22.95,,,,,,,16802.50,702.80
CHAMBLFERT,/company/CHAMBLFERT/consolidated/,CHAMBLFERT,5.87,,,,,,,16789.33,419.05
ALIVUS,/company/ALIVUS/,ALIVUS,18.48,,,,,,,16774.26,1366.30
BASF,/company/BASF/,BASF,15.81,,,,,,,16729.47,3864.90
CENTURYPLY,/company/CENTURYPLY/consolidated/,CENTURYPLY,25.10,,,,,,,16628.54,748.45
THANGAMAYL,/company/THANGAMAYL/,THANGAMAYL,26.86,,,,,,,16572.93,5332.00
J&KBANK,/company/J&KBANK/consolidated/,J&KBANK,17.93,,,,,,,16519.94,150.02
IDREAM,/company/504375/consolidated/,504375,-22617.12,,,,,,,16503.75,610.00
PSB,/company/PSB/,PSB,17.08,,,,,,,16483.04,23.23
GRWRHITECH,/company/GRWRHITECH/consolidated/,GRWRHITECH,28.70,,,,,,,16463.64,7086.50
ASTRAMICRO,/company/ASTRAMICRO/consolidated/,ASTRAMICRO,46.54,,,,,,,16415.99,1729.00
PARADEEP,/company/PARADEEP/consolidated/,PARADEEP,9.41,,,,,,,16304.77,157.00
AGARWALEYE,/company/AGARWALEYE/consolidated/,AGARWALEYE,26.53,,,,,,,16298.32,514.10
