name,path,slug,ev_ebitda,pe,pb,roce,roe,promoter_holding,sales_growth_3y,mkt_cap,cmp
GRMOVER,/company/GRMOVER/consolidated/,GRMOVER,16.05,,,,,,,1813.71,87.53
ALGOQUANT,/company/ALGOQUANT/,ALGOQUANT,24.58,,,,,,,1813.07,64.50
BCG,/company/BCG/consolidated/,BCG,0.22,,,,,,,1812.09,8.98
GRANDOAK,/company/GRANDOAK/consolidated/,GRANDOAK,911.60,,,,,,,1807.79,34.84
MENONBE,/company/MENONBE/consolidated/,MENONBE,25.02,,,,,,,1801.13,321.40
SPICELOUNG,/company/539895/consolidated/,539895,89.54,,,,,,,1800.67,25.83
INSECTICID,/company/INSECTICID/consolidated/,INSECTICID,8.35,,,,,,,1799.56,618.45
SERVOTECH,/company/SERVOTECH/consolidated/,SERVOTECH,23.92,,,,,,,1798.18,79.62
NGLFINE,/company/NGLFINE/,NGLFINE,21.75,,,,,,,1796.84,2907.50
KSSMART,/company/516038/consolidated/,516038,14.09,,,,,,,1795.75,109.45
TITANBIO,/company/524717/consolidated/,524717,36.78,,,,,,,1793.43,434.05
TARSONS,/company/TARSONS/consolidated/,TARSONS,14.74,,,,,,,1785.34,335.55
SKYWAYS,/company/SKYWAYS/consolidated/,SKYWAYS,14.43,,,,,,,1783.66,122.72
YATRA,/company/YATRA/consolidated/,YATRA,19.06,,,,,,,1780.84,113.49
KAPSTON,/company/KAPSTON/,KAPSTON,38.41,,,,,,,1777.39,584.05
DIFFNKG,/company/DIFFNKG/consolidated/,DIFFNKG,21.36,,,,,,,1777.37,474.90
BGRENERGY,/company/BGRENERGY/consolidated/,BGRENERGY,-15.92,,,,,,,1777.05,246.26
PVP,/company/PVP/consolidated/,PVP,27.37,,,,,,,1769.18,67.94
BFINVEST,/company/BFINVEST/consolidated/,BFINVEST,2.31,,,,,,,1767.57,469.35
RICOAUTO,/company/RICOAUTO/consolidated/,RICOAUTO,11.52,,,,,,,1765.12,130.46
ARDEE,/company/ARDEE/,ARDEE,12.88,,,,,,,1754.41,55.66
OAL,/company/OAL/consolidated/,OAL,26.70,,,,,,,1749.65,519.90
IGPL,/company/IGPL/consolidated/,IGPL,8.36,,,,,,,1747.30,567.40
JAICORPLTD,/company/JAICORPLTD/consolidated/,JAICORPLTD,14.50,,,,,,,1746.63,99.52
INDIAGLYCO,/company/INDIAGLYCO/consolidated/,INDIAGLYCO,4.69,,,,,,,1745.38,260.40
INDOKEM,/company/INDOKEM/consolidated/,INDOKEM,210.22,,,,,,,1744.55,625.55
DISAQ,/company/DISAQ/consolidated/,DISAQ,19.55,,,,,,,1743.59,11990.00
VIDHIING,/company/VIDHIING/,VIDHIING,20.87,,,,,,,1736.84,347.75
SURAKSHA,/company/SURAKSHA/consolidated/,SURAKSHA,17.41,,,,,,,1731.42,332.45
PFS,/company/PFS/consolidated/,PFS,4.86,,,,,,,1730.31,26.94
HYPERSOFT,/company/539724/consolidated/,539724,322.22,,,,,,,1721.97,203.90
NDRAUTO,/company/NDRAUTO/consolidated/,NDRAUTO,15.97,,,,,,,1720.75,723.45
GOCOLORS,/company/GOCOLORS/,GOCOLORS,8.11,,,,,,,1718.05,326.65
GOODYEAR,/company/GOODYEAR/,GOODYEAR,10.55,,,,,,,1710.64,741.50
SPANDANA,/company/SPANDANA/consolidated/,SPANDANA,58.99,,,,,,,1709.97,239.81
Deepa Jewellers,/company/id/1286142/,id,12.34,,,,,,,1701.40,
SMCGLOBAL,/company/SMCGLOBAL/consolidated/,SMCGLOBAL,2.55,,,,,,,1701.38,81.25
MOL,/company/MOL/consolidated/,MOL,8.01,,,,,,,1695.26,66.66
ACCELYA,/company/ACCELYA/consolidated/,ACCELYA,8.53,,,,,,,1688.16,1131.00
DANISH,/company/DANISH/,DANISH,16.63,,,,,,,1681.86,854.10
KPEL,/company/KPEL/consolidated/,KPEL,6.00,,,,,,,1676.78,247.32
MTNL,/company/MTNL/consolidated/,MTNL,68.50,,,,,,,1672.65,26.55
QUADFUTURE,/company/QUADFUTURE/,QUADFUTURE,-56.69,,,,,,,1671.60,417.90
STUDDS,/company/STUDDS/consolidated/,STUDDS,12.91,,,,,,,1669.37,424.20
GARUDA,/company/GARUDA/,GARUDA,8.90,,,,,,,1662.94,178.73
INDOBORAX,/company/INDOBORAX/consolidated/,INDOBORAX,24.58,,,,,,,1652.31,514.90
SHALBY,/company/SHALBY/consolidated/,SHALBY,13.07,,,,,,,1649.42,152.71
MMWL,/company/MMWL/consolidated/,MMWL,63.15,,,,,,,1645.87,14.53
IKIO,/company/IKIO/consolidated/,IKIO,15.76,,,,,,,1640.98,212.34
ASIANHOTNR,/company/ASIANHOTNR/,ASIANHOTNR,33.76,,,,,,,1640.31,384.75
PNGSREVA,/company/PNGSREVA/,PNGSREVA,11.89,,,,,,,1636.75,516.35
WENDT,/company/WENDT/consolidated/,WENDT,39.02,,,,,,,1632.00,8160.00
AURUM,/company/AURUM/consolidated/,AURUM,12.98,,,,,,,1623.71,225.16
AVADHSUGAR,/company/AVADHSUGAR/,AVADHSUGAR,12.82,,,,,,,1620.49,809.50
SURYODAY,/company/SURYODAY/,SURYODAY,12.38,,,,,,,1616.45,152.07
BLIL,/company/BLIL/consolidated/,BLIL,2.47,,,,,,,1609.97,72.53
BGDL,/company/521238/,521238,-680.90,,,,,,,1608.00,158.80
AEROENTER,/company/AEROENTER/consolidated/,AEROENTER,5.25,,,,,,,1604.78,141.81
5PAISA,/company/5PAISA/consolidated/,5PAISA,5.54,,,,,,,1603.84,342.10
RGL,/company/RGL/consolidated/,RGL,10.03,,,,,,,1602.58,149.26
DLINKINDIA,/company/DLINKINDIA/consolidated/,DLINKINDIA,10.12,,,,,,,1601.80,451.15
Glass Wall Syst.,/company/id/1286152/,id,24.06,,,,,,,1600.42,
UDS,/company/UDS/consolidated/,UDS,8.84,,,,,,,1600.38,239.03
JAGSNPHARM,/company/JAGSNPHARM/,JAGSNPHARM,20.50,,,,,,,1596.57,242.06
IPL,/company/IPL/consolidated/,IPL,8.82,,,,,,,1593.17,138.34
INFOBEAN,/company/INFOBEAN/consolidated/,INFOBEAN,11.08,,,,,,,1571.77,162.08
VIKRAN,/company/VIKRAN/consolidated/,VIKRAN,8.43,,,,,,,1567.33,60.77
SUMMITSEC,/company/SUMMITSEC/consolidated/,SUMMITSEC,10.23,,,,,,,1563.53,1434.20
MIIL,/company/MIIL/consolidated/,MIIL,171.00,,,,,,,1557.70,717.05
TTKHLTCARE,/company/TTKHLTCARE/,TTKHLTCARE,8.65,,,,,,,1554.62,1100.20
MCLOUD,/company/MCLOUD/consolidated/,MCLOUD,8.12,,,,,,,1548.66,26.29
SOBME,/company/512014/,512014,46.42,,,,,,,1544.72,1485.45
MBEL,/company/MBEL/consolidated/,MBEL,8.47,,,,,,,1544.20,270.15
GENESYS,/company/GENESYS/consolidated/,GENESYS,12.59,,,,,,,1543.77,230.88
SPMLINFRA,/company/SPMLINFRA/consolidated/,SPMLINFRA,17.75,,,,,,,1539.15,181.41
HITECH,/company/HITECH/consolidated/,HITECH,9.34,,,,,,,1538.95,75.77
SDBL,/company/SDBL/consolidated/,SDBL,48.13,,,,,,,1538.47,74.00
SHREEPUSHK,/company/SHREEPUSHK/consolidated/,SHREEPUSHK,14.23,,,,,,,1536.85,475.25
HINDWAREAP,/company/HINDWAREAP/consolidated/,HINDWAREAP,10.28,,,,,,,1527.47,182.61
FRONTSP,/company/FRONTSP/,FRONTSP,17.88,,,,,,,1526.33,1291.80
MODISONLTD,/company/MODISONLTD/consolidated/,MODISONLTD,10.32,,,,,,,1524.99,469.95
GNRL,/company/GNRL/consolidated/,GNRL,51.18,,,,,,,1522.83,99.27
RSL,/company/RSL/,RSL,13.71,,,,,,,1516.75,181.50
KRISHNADEF,/company/KRISHNADEF/,KRISHNADEF,25.39,,,,,,,1514.51,1013.20
MOBIKWIK,/company/MOBIKWIK/consolidated/,MOBIKWIK,21.43,,,,,,,1512.89,192.12
SHREEREF,/company/544458/consolidated/,544458,43.21,,,,,,,1503.09,419.90
DELTACORP,/company/DELTACORP/consolidated/,DELTACORP,9.17,,,,,,,1502.73,56.12
CLSEL,/company/CLSEL/,CLSEL,8.01,,,,,,,1501.22,301.90
ONEPOINT,/company/ONEPOINT/consolidated/,ONEPOINT,15.19,,,,,,,1499.00,57.01
DOLLAR,/company/DOLLAR/,DOLLAR,8.44,,,,,,,1498.72,264.25
PNBGILTS,/company/PNBGILTS/,PNBGILTS,17.73,,,,,,,1495.52,83.08
MANALIPETC,/company/MANALIPETC/consolidated/,MANALIPETC,5.25,,,,,,,1492.27,86.76
QLINE,/company/QLINE/consolidated/,QLINE,15.82,,,,,,,1492.07,639.60
ASIANTILES,/company/ASIANTILES/consolidated/,ASIANTILES,17.46,,,,,,,1490.08,50.26
ONIXSOLAR,/company/ONIXSOLAR/,ONIXSOLAR,22.02,,,,,,,1486.51,403.20
GTLINFRA,/company/GTLINFRA/,GTLINFRA,16.37,,,,,,,1485.89,1.16
SPICEJET,/company/SPICEJET/,SPICEJET,68.87,,,,,,,1484.89,9.73
NITTAGELA,/company/NITTAGELA/consolidated/,NITTAGELA,8.31,,,,,,,1482.31,1632.50
ACCENTMIC,/company/ACCENTMIC/,ACCENTMIC,23.05,,,,,,,1482.04,617.80
IFGLEXPOR,/company/IFGLEXPOR/consolidated/,IFGLEXPOR,11.13,,,,,,,1475.38,204.69
BELDING,/company/513307/consolidated/,513307,378.62,,,,,,,1474.74,1018.55
ARFIN,/company/ARFIN/,ARFIN,33.75,,,,,,,1471.93,87.24
SESHAPAPER,/company/SESHAPAPER/consolidated/,SESHAPAPER,7.29,,,,,,,1470.06,233.09
FERMENTA,/company/FERMENTA/consolidated/,FERMENTA,14.30,,,,,,,1467.13,498.50
TEXINFRA,/company/TEXINFRA/consolidated/,TEXINFRA,83.75,,,,,,,1465.66,115.02
AMRUTANJAN,/company/AMRUTANJAN/,AMRUTANJAN,15.81,,,,,,,1461.29,505.45
VALIANT,/company/526775/consolidated/,526775,35.44,,,,,,,1457.07,1246.20
SHANKESH,/company/SHANKESH/,SHANKESH,10.27,,,,,,,1454.43,98.92
SPIC,/company/SPIC/consolidated/,SPIC,5.86,,,,,,,1451.55,71.28
TECHNOCRAF,/company/TECHNOCRAF/,TECHNOCRAF,,,,,,,,1449.98,366.10
NAVKARCORP,/company/NAVKARCORP/,NAVKARCORP,11.90,,,,,,,1448.60,96.24
DIGITIDE,/company/DIGITIDE/consolidated/,DIGITIDE,5.02,,,,,,,1447.19,97.01
STEELXIND,/company/STEELXIND/,STEELXIND,13.49,,,,,,,1446.44,11.34
DPEL,/company/DPEL/consolidated/,DPEL,30.33,,,,,,,1444.85,578.75
KPGEL,/company/544150/,544150,7.15,,,,,,,1442.50,288.50
GCSL,/company/GCSL/consolidated/,GCSL,24.57,,,,,,,1437.84,595.15
RUBYMILLS,/company/RUBYMILLS/,RUBYMILLS,16.00,,,,,,,1432.24,428.30
Pranav Construc.,/company/id/1286147/,id,16.21,,,,,,,1431.95,
KOTIC,/company/KOTIC/consolidated/,KOTIC,-22.07,,,,,,,1430.96,132.47
CITURGIBIO,/company/506373/,506373,-2800.22,,,,,,,1421.35,107.60
CEINSYS,/company/CEINSYS/consolidated/,CEINSYS,6.45,,,,,,,1419.26,677.85
ASALCBR,/company/ASALCBR/,ASALCBR,10.26,,,,,,,1418.29,706.35
WALCHANNAG,/company/WALCHANNAG/,WALCHANNAG,32.77,,,,,,,1416.56,208.61
GPTINFRA,/company/GPTINFRA/consolidated/,GPTINFRA,8.59,,,,,,,1416.55,112.10
VIVIDEL,/company/VIVIDEL/,VIVIDEL,31.32,,,,,,,1414.58,1591.60
STLNETWORK,/company/STLNETWORK/consolidated/,STLNETWORK,45.97,,,,,,,1409.17,28.87
RAJESH,/company/544291/,544291,7.26,,,,,,,1408.90,782.40
TAALTECH,/company/TAALTECH/consolidated/,TAALTECH,16.29,,,,,,,1403.04,4502.20
GYFTR,/company/GYFTR/consolidated/,GYFTR,38.94,,,,,,,1402.06,182.54
EXPLEOSOL,/company/EXPLEOSOL/consolidated/,EXPLEOSOL,4.66,,,,,,,1395.22,899.00
IMPAL,/company/IMPAL/,IMPAL,11.41,,,,,,,1391.02,1114.60
JOJO,/company/531910/,531910,120.40,,,,,,,1387.85,201.25
ELITECON,/company/ELITECON/consolidated/,ELITECON,4.21,,,,,,,1387.50,8.68
AVTNPL,/company/AVTNPL/consolidated/,AVTNPL,11.45,,,,,,,1386.23,91.02
SUNSHINE,/company/SUNSHINE/,SUNSHINE,23.78,,,,,,,1375.06,441.45
YUKEN,/company/YUKEN/consolidated/,YUKEN,25.85,,,,,,,1373.07,1010.80
ANDREWYU,/company/ANDREWYU/consolidated/,ANDREWYU,-28.21,,,,,,,1365.64,27.93
KROSS,/company/KROSS/,KROSS,14.40,,,,,,,1364.83,211.57
GKSL,/company/GKSL/consolidated/,GKSL,47.28,,,,,,,1362.49,172.81
DCW,/company/DCW/,DCW,6.43,,,,,,,1357.12,45.98
NIITLTD,/company/NIITLTD/consolidated/,NIITLTD,23.01,,,,,,,1355.69,98.96
SKMEGGPROD,/company/SKMEGGPROD/consolidated/,SKMEGGPROD,8.04,,,,,,,1353.89,257.10
IZMO,/company/IZMO/consolidated/,IZMO,18.46,,,,,,,1351.90,902.45
RIR,/company/RIR/consolidated/,RIR,105.46,,,,,,,1351.62,169.86
ALLTIME,/company/ALLTIME/,ALLTIME,14.21,,,,,,,1349.98,206.08
PUNJABCHEM,/company/PUNJABCHEM/consolidated/,PUNJABCHEM,11.00,,,,,,,1348.97,1100.30
ANDHRSUGAR,/company/ANDHRSUGAR/consolidated/,ANDHRSUGAR,5.04,,,,,,,1348.71,99.51
AGL,/company/AGL/consolidated/,AGL,92.90,,,,,,,1341.50,13.65
DSSL,/company/DSSL/,DSSL,9.15,,,,,,,1341.34,1053.10
UGROCAP,/company/UGROCAP/,UGROCAP,7.65,,,,,,,1340.91,86.35
BLKASHYAP,/company/BLKASHYAP/consolidated/,BLKASHYAP,12.78,,,,,,,1337.76,59.34
DEN,/company/DEN/consolidated/,DEN,-6.41,,,,,,,1334.80,27.97
IGARASHI,/company/IGARASHI/,IGARASHI,16.43,,,,,,,1330.61,422.75
CENTENKA,/company/CENTENKA/,CENTENKA,5.36,,,,,,,1330.45,608.90
BHAGERIA,/company/BHAGERIA/,BHAGERIA,9.94,,,,,,,1329.62,304.65
BHARATSE,/company/BHARATSE/,BHARATSE,12.84,,,,,,,1329.41,211.69
SIGACHI,/company/SIGACHI/consolidated/,SIGACHI,27.99,,,,,,,1327.47,34.74
JAGRAN,/company/JAGRAN/consolidated/,JAGRAN,3.71,,,,,,,1327.26,60.98
KALAMANDIR,/company/KALAMANDIR/,KALAMANDIR,4.88,,,,,,,1326.46,86.49
BENARAS,/company/BENARAS/,BENARAS,18.53,,,,,,,1326.00,10200.00
NINSYS,/company/NINSYS/consolidated/,NINSYS,27.15,,,,,,,1324.00,712.75
JAYBARMARU,/company/JAYBARMARU/,JAYBARMARU,6.54,,,,,,,1323.79,122.29
GALAPREC,/company/GALAPREC/consolidated/,GALAPREC,21.69,,,,,,,1312.38,1024.00
SHRIRAMPPS,/company/SHRIRAMPPS/consolidated/,SHRIRAMPPS,10.71,,,,,,,1312.33,76.90
INOVSYNTH,/company/533315/,533315,208.78,,,,,,,1311.66,141.25
GHCLTEXTIL,/company/GHCLTEXTIL/,GHCLTEXTIL,7.42,,,,,,,1306.85,136.72
SIGNPOST,/company/SIGNPOST/,SIGNPOST,9.67,,,,,,,1305.52,244.25
EIMCOELECO,/company/EIMCOELECO/,EIMCOELECO,21.18,,,,,,,1300.79,2254.40
MANAKCOAT,/company/MANAKCOAT/consolidated/,MANAKCOAT,15.05,,,,,,,1298.80,121.80
GPTHEALTH,/company/GPTHEALTH/,GPTHEALTH,14.21,,,,,,,1297.86,158.17
EXCELINDUS,/company/EXCELINDUS/consolidated/,EXCELINDUS,9.75,,,,,,,1296.54,1031.40
PRIZOR,/company/PRIZOR/,PRIZOR,40.05,,,,,,,1295.98,1200.40
SOLARWORLD,/company/SOLARWORLD/consolidated/,SOLARWORLD,5.23,,,,,,,1294.20,149.32
PASHUPATI,/company/PASHUPATI/,PASHUPATI,33.97,,,,,,,1293.34,81.94
ATULAUTO,/company/ATULAUTO/consolidated/,ATULAUTO,14.98,,,,,,,1290.85,465.15
ANDHRAPAP,/company/ANDHRAPAP/,ANDHRAPAP,9.32,,,,,,,1281.59,64.45
ONIDA,/company/ONIDA/,ONIDA,-33.21,,,,,,,1280.04,34.64
PPEL,/company/544844/,544844,24.67,,,,,,,1279.07,641.30
CAPITALSFB,/company/CAPITALSFB/,CAPITALSFB,15.11,,,,,,,1277.34,280.95
ULTRAMAR,/company/ULTRAMAR/,ULTRAMAR,9.66,,,,,,,1276.48,437.15
INVPRECQ,/company/INVPRECQ/consolidated/,INVPRECQ,36.53,,,,,,,1273.60,1273.60
SAFEENTP,/company/SAFEENTP/consolidated/,SAFEENTP,13.10,,,,,,,1272.30,273.00
PLATIND,/company/PLATIND/consolidated/,PLATIND,16.34,,,,,,,1271.73,231.54
AIRLTD,/company/508929/consolidated/,508929,1665.60,,,,,,,1270.71,567.20
IVALUE,/company/IVALUE/consolidated/,IVALUE,7.49,,,,,,,1260.76,230.26
SULA,/company/SULA/consolidated/,SULA,14.72,,,,,,,1258.26,149.00
DHANBANK,/company/DHANBANK/,DHANBANK,17.53,,,,,,,1257.51,31.86
KELENRG,/company/506528/,506528,26.73,,,,,,,1254.04,12540.40
3BBLACKBIO,/company/3BBLACKBIO/consolidated/,3BBLACKBIO,14.29,,,,,,,1253.16,1460.10
ELECTHERM,/company/ELECTHERM/consolidated/,ELECTHERM,224.45,,,,,,,1249.94,980.90
DOLATALGO,/company/DOLATALGO/,DOLATALGO,6.67,,,,,,,1248.02,70.91
BHARATWIRE,/company/BHARATWIRE/,BHARATWIRE,10.24,,,,,,,1247.17,181.32
LINCOLN,/company/LINCOLN/consolidated/,LINCOLN,8.45,,,,,,,1243.45,620.80
BHAGYANGR,/company/BHAGYANGR/consolidated/,BHAGYANGR,11.46,,,,,,,1240.88,370.45
ZSARACOM,/company/ZSARACOM/consolidated/,ZSARACOM,7.73,,,,,,,1238.62,11302.00
GODAVARIB,/company/GODAVARIB/consolidated/,GODAVARIB,12.82,,,,,,,1236.92,241.70
ASTEC,/company/ASTEC/consolidated/,ASTEC,150.92,,,,,,,1235.47,554.45
PANORAMA,/company/PANORAMA/consolidated/,PANORAMA,28.85,,,,,,,1235.20,47.41
RAMBHAJO,/company/RAMBHAJO/,RAMBHAJO,26.46,,,,,,,1230.82,268.68
RAJRILTD,/company/RAJRILTD/,RAJRILTD,20.02,,,,,,,1228.39,22.09
ARROWGREEN,/company/ARROWGREEN/consolidated/,ARROWGREEN,12.40,,,,,,,1228.31,814.10
ALLDIGI,/company/ALLDIGI/consolidated/,ALLDIGI,7.43,,,,,,,1227.98,805.85
ROTO,/company/ROTO/consolidated/,ROTO,21.47,,,,,,,1225.46,65.03
XTRANET,/company/XTRANET/consolidated/,XTRANET,20.30,,,,,,,1224.74,234.24
COSMICCRF,/company/543928/consolidated/,543928,14.68,,,,,,,1219.67,1304.70
BIL,/company/BIL/consolidated/,BIL,14.04,,,,,,,1217.46,907.85
COMSYN,/company/COMSYN/,COMSYN,24.32,,,,,,,1215.42,301.30
FAZE3Q,/company/FAZE3Q/consolidated/,FAZE3Q,16.27,,,,,,,1215.01,493.95
IRISDOREME,/company/IRISDOREME/,IRISDOREME,38.57,,,,,,,1210.13,63.58
HARAFIN,/company/530927/,530927,141.15,,,,,,,1203.38,57.95
JYOTISTRUC,/company/JYOTISTRUC/consolidated/,JYOTISTRUC,37.09,,,,,,,1196.05,10.02
EKC,/company/EKC/consolidated/,EKC,6.39,,,,,,,1194.11,106.42
TNPETRO,/company/TNPETRO/consolidated/,TNPETRO,5.56,,,,,,,1193.90,132.70
MVKAGRO,/company/MVKAGRO/consolidated/,MVKAGRO,17.58,,,,,,,1193.66,236.35
MONTECARLO,/company/MONTECARLO/,MONTECARLO,6.92,,,,,,,1191.06,574.50
KRISHIVAL,/company/KRISHIVAL/consolidated/,KRISHIVAL,27.72,,,,,,,1182.31,416.30
PRECAM,/company/PRECAM/consolidated/,PRECAM,11.73,,,,,,,1178.01,124.02
SALSTEEL,/company/SALSTEEL/,SALSTEEL,45.48,,,,,,,1177.97,81.37
TGVSL,/company/TGVSL/,TGVSL,3.96,,,,,,,1177.77,109.98
BOROSCI,/company/BOROSCI/consolidated/,BOROSCI,15.59,,,,,,,1175.58,132.16
APEX,/company/APEX/,APEX,13.65,,,,,,,1172.34,375.15
AIRFLOA,/company/544516/,544516,18.89,,,,,,,1167.82,487.20
ICEMAKE,/company/ICEMAKE/,ICEMAKE,30.86,,,,,,,1165.49,738.60
GULPOLY,/company/GULPOLY/,GULPOLY,5.11,,,,,,,1160.16,186.01
FINOPB,/company/FINOPB/,FINOPB,31.81,,,,,,,1159.48,139.33
VHL,/company/VHL/consolidated/,VHL,4.34,,,,,,,1156.82,3626.40
IRMENERGY,/company/IRMENERGY/consolidated/,IRMENERGY,5.78,,,,,,,1155.42,281.40
UNIHEALTH,/company/UNIHEALTH/consolidated/,UNIHEALTH,20.06,,,,,,,1151.16,724.00
RUPA,/company/RUPA/consolidated/,RUPA,8.13,,,,,,,1149.05,144.49
BMW,/company/542669/consolidated/,542669,8.01,,,,,,,1147.49,50.98
AKCAPIT,/company/AKCAPIT/consolidated/,AKCAPIT,10.24,,,,,,,1146.35,1736.90
SUNRAKSHAK,/company/SUNRAKSHAK/consolidated/,SUNRAKSHAK,16.26,,,,,,,1145.85,369.55
MWL,/company/MWL/consolidated/,MWL,12.75,,,,,,,1145.26,38.56
ISIBARS,/company/513361/,513361,54.07,,,,,,,1143.29,28.72
SHRIAHIMSA,/company/SHRIAHIMSA/,SHRIAHIMSA,25.67,,,,,,,1137.57,485.50
BALAJITELE,/company/BALAJITELE/consolidated/,BALAJITELE,-57.13,,,,,,,1135.76,93.17
ROBU,/company/543787/,543787,27.81,,,,,,,1134.36,1095.10
RIIL,/company/RIIL/consolidated/,RIIL,68.67,,,,,,,1133.93,750.95
WAAREEINDO,/company/WAAREEINDO/,WAAREEINDO,4.27,,,,,,,1131.62,272.00
UTSSAV,/company/UTSSAV/,UTSSAV,13.51,,,,,,,1130.85,468.30
BIRLACABLE,/company/BIRLACABLE/,BIRLACABLE,14.34,,,,,,,1129.65,376.55
ALICON,/company/ALICON/consolidated/,ALICON,7.14,,,,,,,1122.90,684.20
KOPRAN,/company/KOPRAN/consolidated/,KOPRAN,19.98,,,,,,,1122.83,232.54
MUNJALAU,/company/MUNJALAU/consolidated/,MUNJALAU,8.40,,,,,,,1122.80,112.28
STEL,/company/STEL/consolidated/,STEL,42.93,,,,,,,1121.90,607.90
ETL,/company/ETL/,ETL,13.54,,,,,,,1117.29,1047.00
BUTTERFLY,/company/BUTTERFLY/,BUTTERFLY,12.07,,,,,,,1117.23,624.85
HARIOMPIPE,/company/HARIOMPIPE/,HARIOMPIPE,6.87,,,,,,,1112.35,359.20
THEMISMED,/company/THEMISMED/consolidated/,THEMISMED,-75.05,,,,,,,1109.07,120.42
KRONECOMM,/company/523411/,523411,35.06,,,,,,,1108.14,2409.00
KAMDHENU,/company/KAMDHENU/,KAMDHENU,9.01,,,,,,,1106.11,39.24
SVRL,/company/543373/,543373,18.98,,,,,,,1103.75,499.00
SHREDIGCEM,/company/SHREDIGCEM/,SHREDIGCEM,20.21,,,,,,,1101.07,74.44
FLYSBS,/company/FLYSBS/,FLYSBS,12.64,,,,,,,1099.83,635.60
CENTRUM,/company/CENTRUM/consolidated/,CENTRUM,11.92,,,,,,,1097.80,22.55
MASTERTR,/company/MASTERTR/consolidated/,MASTERTR,-2.03,,,,,,,1096.81,89.16
LAXMIDENTL,/company/LAXMIDENTL/consolidated/,LAXMIDENTL,20.00,,,,,,,1095.86,199.14
ACGL,/company/ACGL/,ACGL,10.13,,,,,,,1094.49,1797.60
GANDHITUBE,/company/GANDHITUBE/,GANDHITUBE,10.49,,,,,,,1093.86,900.15
MATRIMONY,/company/MATRIMONY/consolidated/,MATRIMONY,12.77,,,,,,,1093.73,529.05
META,/company/534535/consolidated/,534535,7.45,,,,,,,1093.04,8.96
ORIENTTECH,/company/ORIENTTECH/,ORIENTTECH,24.10,,,,,,,1091.97,238.39
BIRLANU,/company/BIRLANU/consolidated/,BIRLANU,25.22,,,,,,,1091.92,1448.00
GREENPOWER,/company/GREENPOWER/consolidated/,GREENPOWER,7.45,,,,,,,1088.57,9.28
SACHEEROME,/company/SACHEEROME/,SACHEEROME,25.59,,,,,,,1085.64,485.25
TEMBO,/company/TEMBO/consolidated/,TEMBO,7.38,,,,,,,1084.34,58.47
INDOSMC,/company/544681/,544681,22.57,,,,,,,1082.20,473.50
BAJAJHCARE,/company/BAJAJHCARE/,BAJAJHCARE,11.14,,,,,,,1082.09,321.45
BCLIND,/company/BCLIND/consolidated/,BCLIND,5.73,,,,,,,1080.89,36.62
TNPL,/company/TNPL/,TNPL,4.68,,,,,,,1077.96,155.75
DHAMPURSUG,/company/DHAMPURSUG/consolidated/,DHAMPURSUG,9.68,,,,,,,1077.71,167.59
GRPLTD,/company/GRPLTD/consolidated/,GRPLTD,25.91,,,,,,,1073.60,2013.00
UTTAMSUGAR,/company/UTTAMSUGAR/consolidated/,UTTAMSUGAR,8.33,,,,,,,1072.44,281.20
UNITECH,/company/UNITECH/consolidated/,UNITECH,122.81,,,,,,,1067.45,4.08
HITECHGEAR,/company/HITECHGEAR/consolidated/,HITECHGEAR,10.81,,,,,,,1067.38,567.15
SRM,/company/SRM/consolidated/,SRM,5.21,,,,,,,1060.83,462.35
ONEGLOBAL,/company/ONEGLOBAL/,ONEGLOBAL,10.50,,,,,,,1060.01,542.40
BPLPHARMA,/company/BPLPHARMA/consolidated/,BPLPHARMA,59.01,,,,,,,1056.74,1533.30
INDPRUD,/company/INDPRUD/consolidated/,INDPRUD,17.27,,,,,,,1056.62,6305.00
AWHCL,/company/AWHCL/consolidated/,AWHCL,6.33,,,,,,,1052.55,370.80
ARIS,/company/ARIS/consolidated/,ARIS,7.93,,,,,,,1051.54,128.56
PCCL,/company/PCCL/,PCCL,22.14,,,,,,,1050.12,425.15
MADRASFERT,/company/MADRASFERT/,MADRASFERT,6.02,,,,,,,1049.09,65.12
REMUS,/company/REMUS/consolidated/,REMUS,16.77,,,,,,,1048.83,890.05
JPOLYINVST,/company/JPOLYINVST/consolidated/,JPOLYINVST,1.12,,,,,,,1048.32,997.45
TCC,/company/TCC/consolidated/,TCC,8.16,,,,,,,1047.99,44.10
JINDALPHOT,/company/JINDALPHOT/consolidated/,JINDALPHOT,-20.56,,,,,,,1047.58,1021.20
NAHARSPING,/company/NAHARSPING/,NAHARSPING,8.18,,,,,,,1045.17,289.80
SEKURITIND,/company/SEKURITIND/,SEKURITIND,17.00,,,,,,,1043.76,114.56
HMAAGRO,/company/HMAAGRO/consolidated/,HMAAGRO,4.73,,,,,,,1043.60,20.84
JYOTIRES,/company/JYOTIRES/,JYOTIRES,10.39,,,,,,,1041.72,868.10
SSEGL,/company/SSEGL/,SSEGL,7.45,,,,,,,1040.70,400.60
RSWM,/company/RSWM/consolidated/,RSWM,7.76,,,,,,,1039.20,220.63
SEPC,/company/SEPC/consolidated/,SEPC,12.46,,,,,,,1030.28,5.38
ASGARD,/company/512025/consolidated/,512025,99.75,,,,,,,1028.06,33.00
AFSL,/company/AFSL/consolidated/,AFSL,5.56,,,,,,,1027.32,202.07
MMP,/company/MMP/consolidated/,MMP,14.49,,,,,,,1026.65,404.15
