nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
SANGHVIMOV,Sanghvi Movers,Capital Goods - EPC/Cranes,Services,Services,Diversified Commercial Services,1,1
SANOFI,Sanofi India,Pharma - MNC bulk Drugs,Healthcare,Healthcare,Pharmaceuticals,1,1
SANOFICONR,Sanofi Consumer,Pharma - MNC bulk Drugs,Healthcare,Healthcare,Pharmaceuticals,1,1
SANSERA,Sansera Enginee.,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SANSTAR,Sanstar,Agricultural Processing - Maize,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,1,1
SAPPHIRE,Sapphire Foods,Quick Service Restaurant - QSR,Consumer Discretionary,Consumer Services,Restaurants,1,1
SARDAEN,Sarda Energy,Mining/Minerals - Iron Ore,Commodities,Metals & Mining,Iron & Steel,1,1
SAREGAMA,Saregama India,Music Licensing,Consumer Discretionary,"Media, Entertainment & Publication",Media & Entertainment,1,1
SASKEN,Sasken Technol.,IT - Software,Information Technology,Information Technology,IT Enabled Services,1,1
SATIN,Satin Creditcare,Finance & Investments - Microfinance,Financial Services,Financial Services,Microfinance Institutions,1,1
SBC,SBC Exports,Textiles - Readymade Apparel,Consumer Discretionary,Textiles,Garments & Apparels,1,1
SBCL,Shivalik Bimetal,Shunt Resistors,Industrials,Capital Goods,Iron & Steel Products,1,1
SBFC,SBFC Finance,Finance & Investments - MSME Lending,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
SCI,S C I,Shipping,Services,Services,Shipping,1,1
SCODATUBES,Scoda Tubes,Steel - Tubes/Pipes,Industrials,Capital Goods,Iron & Steel Products,1,1
SDBL,Som Distilleries,Alcoholic Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Breweries & Distilleries,1,1
SEAMECLTD,SEAMEC Ltd,Shipping,Services,Services,Shipping,1,1
SEDEMAC,Sedemac Mechatro,Electronics - Power Devices/Equipment,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SEIL,Shanti Educat.,Computer Education,Consumer Discretionary,Consumer Services,Education,1,1
SENCO,Senco Gold,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
SENORES,Senores Pharma.,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
SEPC,SEPC,Project Consultancy/Turnkey,Industrials,Construction,Civil Construction,1,1
SERVOTECH,Servotech Renew,Capital Goods - Electric General,Industrials,Capital Goods,Other Electrical Equipment,1,1
SETL,Standard Engineering Technology,Engineering - Heavy - Glass - lined Equipment,Industrials,Capital Goods,Industrial Products,1,1
SFL,Sheela Foam,Mattress,Consumer Discretionary,Consumer Durables,"Furniture, Home Furnishing",1,1
SGFIN,SG Finserve,Finance & Investments - MSME Lending,Financial Services,Financial Services,Non Banking Financial Company (NBFC),1,1
SGMART,SG Mart,Trading,Commodities,Metals & Mining,Trading - Metals,1,1
SHADOWFAX,Shadowfax Technologies,Logistics,Services,Services,Logistics Solution Provider,1,1
SHAH,Shah Metacorp,Steel,Industrials,Capital Goods,Iron & Steel Products,1,1
SHAILY,Shaily Engineer.,Plastics - Plastic & Plastic Products,Consumer Discretionary,Consumer Durables,Plastic Products - Consumer,1,1
SHAKTIPUMP,Shakti Pumps,Solar Pumps,Industrials,Capital Goods,"Compressors, Pumps & Diesel Engines",1,1
SHANTIGOLD,Shanti Gold,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
SHARDACROP,Sharda Cropchem,Pesticides/Agrochemicals,Commodities,Chemicals,Pesticides & Agrochemicals,1,1
SHARDAMOTR,Sharda Motor,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SHAREINDIA,Share India Sec.,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Stockbroking & Allied,1,1
SHILCTECH,Shilchar Tech.,Capital Goods - Transformers,Industrials,Capital Goods,Other Electrical Equipment,1,1
SHILPAMED,Shilpa Medicare,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
SHK,S H Kelkar & Co.,Chemicals - Others,Commodities,Chemicals,Specialty Chemicals,1,1
SHREEJISPG,Shreeji Ship. Gl,Shipping/Dredging,Services,Services,Shipping,1,1
SHRINGARMS,Shringar House,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
SHRIPISTON,SPR Auto Technologies,Auto Ancillaries - Engine Parts,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SHRIRAMPPS,Shriram Properti,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
SIGMAADV,Sigma Advanced System,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
SIGNATURE,SignatureGlobal,Realty - Construction & Contracting,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
SIGNPOST,Signpost India,Advertisement,Consumer Discretionary,"Media, Entertainment & Publication",Advertising & Media Agencies,1,1
SIKA,Sika Interplant,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
SILVERTUC,Silver Touch,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
SIMPLEXINF,Simplex Infra,Infra - Construction & Contracting,Industrials,Construction,Civil Construction,1,1
SINDHUTRAD,Sindhu Trade,Logistics,Energy,"Oil, Gas & Consumable Fuels",Coal,1,1
SIRCA,Sirca Paints,Building Materials - Paints,Consumer Discretionary,Consumer Durables,Paints,1,1
SIS,SIS,Facility Management,Consumer Discretionary,Consumer Services,Other Consumer Services,1,1
SIYSIL,Siyaram Silk,Textiles - Weaving,Consumer Discretionary,Textiles,Other Textile Products,1,1
SJS,SJS Enterprises,Auto Ancillaries - Diversified,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
SKFINDIA,SKF India,Bearings,Industrials,Capital Goods,Abrasives & Bearings,1,1
SKFINDUS,SKF India Indus.,Bearings,Industrials,Capital Goods,Abrasives & Bearings,1,1
SKIPPER,Skipper,Electrical Equipments/HVDC,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
SKMEGGPROD,SKM Egg Prod.,FMCG - Animal/Polutry,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Meat Products including Poultry,1,1
SKYGOLD,Sky Gold & Diam.,"Diamond, Gems & Jewellery",Consumer Discretionary,Consumer Durables,"Gems, Jewellery And Watches",1,1
SMCGLOBAL,SMC Global Sec.,Finance - Capital Markets - Brokers,Financial Services,Financial Services,Stockbroking & Allied,1,1
SMLMAH,SML Mahindra,Auto - Bus/LCVs,Industrials,Capital Goods,Commercial Vehicles,1,1
SMSPHARMA,SMS Pharma.,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
SOBHA,Sobha,Realty - National,Consumer Discretionary,Realty,"Residential, Commercial Projects",1,1
SOLARA,Solara Active,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
SOLARWORLD,Solarworld Ene.,Solar EPC,Industrials,Construction,Civil Construction,1,1
SOLEX,Solex Energy,Capital Goods - Solar,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
SOMANYCERA,Somany Ceramics,Ceramics/Tiles/Sanitaryware,Consumer Discretionary,Consumer Durables,Ceramics,1,1
SONATSOFTW,Sonata Software,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
SOTL,Savita Oil Tech,Petrochem - Others,Energy,"Oil, Gas & Consumable Fuels",Lubricants,1,1
SOUTHBANK,South Ind.Bank,Banks - Private,Financial Services,Financial Services,Private Sector Bank,1,1
SOUTHWEST,South West Pinn.,Mining/Minerals,Services,Services,Diversified Commercial Services,1,1
SPAL,S P Apparels,Textiles - Readymade Apparel,Consumer Discretionary,Textiles,Garments & Apparels,1,1
SPANDANA,Spandana Sphoort,Finance & Investments - Microfinance,Financial Services,Financial Services,Microfinance Institutions,1,1
SPARC,SPARC,Pharma - Others,Healthcare,Healthcare,Pharmaceuticals,1,1
SPECTRUM,Spectrum Electr.,Capital Goods - Electric General,Industrials,Capital Goods,Industrial Products,1,1
SPIC,S P I C,Fertilisers,Commodities,Chemicals,Fertilizers,1,1
SPLPETRO,Supreme Petroch.,Petrochem - Polymers,Commodities,Chemicals,Petrochemicals,1,1
SPMLINFRA,SPML Infra,Infra - Construction & Contracting,Industrials,Construction,Civil Construction,1,1
SPORTKING,Sportking India,Textiles - Spinning,Consumer Discretionary,Textiles,Other Textile Products,1,1
SRM,SRM Contractors,Construction - Civil/Turnkey,Industrials,Construction,Civil Construction,1,1
SSWL,Steel Str. Wheel,Auto Ancillaries - Wheels,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
STALLION,Stallion India,Industrial Gas,Commodities,Chemicals,Industrial Gases,1,1
STANLEY,Stanley Lifesty.,Miscellaneous,Consumer Discretionary,Consumer Durables,"Furniture, Home Furnishing",1,1
STAR,Strides Pharma,Pharma - Formulators,Healthcare,Healthcare,Pharmaceuticals,1,1
STARCEMENT,Star Cement,Cement,Commodities,Construction Materials,Cement & Cement Products,1,1
STEELCAS,Steelcast,"Castings, Forgings & Fastners",Industrials,Capital Goods,Castings & Forgings,1,1
STEELXIND,Steel Exchange,Steel Products,Industrials,Capital Goods,Iron & Steel Products,1,1
STERTOOLS,Sterling Tools,"Castings, Forgings & Fastners",Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
STOVEKRAFT,Stove Kraft,Domestic Appliances,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
STUDDS,Studds Accessor.,Plastics - Others,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
STYL,Seshaasai Tech.,IT - Software,Financial Services,Financial Services,Financial Technology (Fintech),1,1
