nse_symbol,company_name,target_industry,screener_broad_sector,screener_sector,screener_industry,in_stockscans,in_screener
VIDYAWIRES,Vidya Wires,Electric Equipment - General,Industrials,Capital Goods,"Aluminium, Copper & Zinc Products",1,1
VIJAYA,Vijaya Diagnost.,Diagnostics,Healthcare,Healthcare,Healthcare Service Provider,1,1
VIKRAMSOLR,Vikram Solar,Capital Goods - Solar,Industrials,Capital Goods,Other Electrical Equipment,1,1
VIKRAN,Vikran Engg.,Transmission Line Towers/Equipment,Industrials,Construction,Civil Construction,1,1
VIMTALABS,Vimta Labs,Diagnostics,Healthcare,Healthcare,"Healthcare Research, Analytics & Technology",1,1
VINATIORGA,Vinati Organics,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
VINCOFE,Vintage Coffee,FMCG - Coffee,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Tea & Coffee,1,1
VINDHYATEL,Vindhya Telelink,Cables - Telecom,Industrials,Construction,Civil Construction,1,1
VIPIND,V I P Inds.,Travel Bags,Consumer Discretionary,Consumer Durables,Plastic Products - Consumer,1,1
VISHNU,Vishnu Chemicals,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
VISL,Vedanta Iron & Steel,Steel,Commodities,Metals & Mining,Iron & Steel,1,1
VIYASH,Viyash Scientific,Pharma - Animal,Healthcare,Healthcare,Pharmaceuticals,1,1
VMART,V-Mart Retail,Textiles - Readymade Apparel,Consumer Discretionary,Consumer Services,Diversified Retail,1,1
VOGL,Vedanta Oil and Gas,Oil Exploration/Allied Services,Energy,"Oil, Gas & Consumable Fuels",Oil Exploration & Production,1,1
VOLTAMP,Volt.Transform.,Capital Goods - Transformers,Industrials,Capital Goods,Heavy Electrical Equipment,1,1
VSTIND,VST Industries,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,1,1
VSTTILLERS,VST Till. Tract.,Auto - Tractors,Industrials,Capital Goods,Tractors,1,1
VTL,Vardhman Textile,Textiles - Spinning,Consumer Discretionary,Textiles,Other Textile Products,1,1
WAAREERTL,Waaree Renewab.,Solar EPC,Industrials,Capital Goods,Other Electrical Equipment,1,1
WABAG,Va Tech Wabag,Water Treatment,Utilities,Utilities,Water Supply & Management,1,1
WAKEFIT,Wakefit Innovati,Mattress,Consumer Discretionary,Consumer Durables,"Furniture, Home Furnishing",1,1
WALCHANNAG,Walchan. Inds.,Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
WANBURY,Wanbury,Pharma - API,Healthcare,Healthcare,Pharmaceuticals,1,1
WEBELSOLAR,Websol Energy,Capital Goods - Solar,Industrials,Capital Goods,Other Electrical Equipment,1,1
WELENT,Welspun Enterp,Water Treatment,Industrials,Construction,Civil Construction,1,1
WELSPLSOL,Welspun Special.,Steel - Tubes/Pipes,Industrials,Capital Goods,Iron & Steel Products,1,1
WELSPUNLIV,Welspun Living,Textiles - Home Textile,Consumer Discretionary,Textiles,Other Textile Products,1,1
WENDT,Wendt India,Abrasives & Grinding Wheels,Industrials,Capital Goods,Abrasives & Bearings,1,1
WEWORK,Wework India,Realty - CoWorking,Services,Services,Diversified Commercial Services,1,1
WHEELS,Wheels India,Auto Ancillaries - Wheels,Consumer Discretionary,Automobile and Auto Components,Auto Components & Equipments,1,1
WHIRLPOOL,Whirlpool India,Consumer Electronics,Consumer Discretionary,Consumer Durables,Household Appliances,1,1
WINDLAS,Windlas Biotech,Pharma - API & CRAMS,Healthcare,Healthcare,Pharmaceuticals,1,1
WINDMACHIN,Windsor Machines,Capital Goods - Engineering Heavy,Industrials,Capital Goods,Industrial Products,1,1
WSTCSTPAPR,West Coast Paper,Paper,Commodities,Forest Materials,Paper & Paper Products,1,1
XPROINDIA,XPRO India,Packaging - Films,Industrials,Capital Goods,Packaging,1,1
YASHO,Yasho Industries,Speciality Chemicals,Commodities,Chemicals,Specialty Chemicals,1,1
YATHARTH,Yatharth Hospit.,Hospitals,Healthcare,Healthcare,Hospital,1,1
YATRA,Yatra Online,E-Commerce - Platform - Travel,Consumer Discretionary,Consumer Services,"Tour, Travel Related Services",1,1
ZAGGLE,Zaggle Prepaid,IT Product Companies,Information Technology,Information Technology,IT Enabled Services,1,1
ZEEL,Zee Entertainmen,Entertainment & Media,Consumer Discretionary,"Media, Entertainment & Publication",TV Broadcasting & Software Production,1,1
ZENSARTECH,Zensar Tech.,IT - Software,Information Technology,Information Technology,Computers - Software & Consulting,1,1
ZENTEC,Zen Technologies,Aerospace & Defence - Equipments,Industrials,Capital Goods,Aerospace & Defense,1,1
ZOTA,Zota Health Care,Pharmacy Distribution,Healthcare,Healthcare,Pharmaceuticals,1,1
ZUARI,Zuari Agro Chem.,Fertilisers,Commodities,Chemicals,Fertilizers,1,1
ZYDUSWELL,Zydus Wellness,FMCG - Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,1,1
